FlightNumber,LaunchSite,Outcome,Class,PayloadMass,BoosterVersion,Block_Version
71,CCSFS SLC 40,True ASDS,1,6800.0,Falcon 9,B5
72,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
73,KSC LC 39A,None None,0,7407.0,Falcon 9,B5
74,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
75,CCSFS SLC 40,False ASDS,0,15600.0,Falcon 9,B5
76,CCSFS SLC 40,True RTLS,1,1977.0,Falcon 9,B5
77,KSC LC 39A,False ASDS,0,15600.0,Falcon 9,B5
78,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
79,KSC LC 39A,True ASDS,1,9525.0,Falcon 9,B5
80,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
81,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
82,CCSFS SLC 40,True ASDS,1,3880.0,Falcon 9,B5
83,CCSFS SLC 40,True ASDS,1,7407.0,Falcon 9,B5
84,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
85,CCSFS SLC 40,True RTLS,1,1600.0,Falcon 9,B5
86,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
87,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
88,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
89,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
90,CCSFS SLC 40,True ASDS,1,3681.0,Falcon 9,B5
91,KSC LC 39A,True ASDS,1,7407.0,Falcon 9,B5
92,VAFB SLC 4E,True RTLS,1,1440.0,Falcon 9,B5
93,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
94,KSC LC 39A,True ASDS,1,2972.0,Falcon 9,B5
95,CCSFS SLC 40,True ASDS,1,7000.0,Falcon 9,B5
96,KSC LC 39A,True RTLS,1,7407.0,Falcon 9,B5
97,CCSFS SLC 40,True ASDS,1,3500.0,Falcon 9,B5
98,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
99,CCSFS SLC 40,True ASDS,1,7407.0,Falcon 9,B5
100,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
101,CCSFS SLC 40,False ASDS,0,15600.0,Falcon 9,B5
102,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
103,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
104,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
105,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
106,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
107,KSC LC 39A,True ASDS,1,7407.0,Falcon 9,B5
108,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
109,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
110,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
111,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
112,KSC LC 39A,True ASDS,1,3328.0,Falcon 9,B5
113,CCSFS SLC 40,True ASDS,1,7000.0,Falcon 9,B5
114,CCSFS SLC 40,True ASDS,1,3681.0,Falcon 9,B5
115,CCSFS SLC 40,True RTLS,1,7407.0,Falcon 9,B5
116,KSC LC 39A,True ASDS,1,7407.0,Falcon 9,B5
117,VAFB SLC 4E,True ASDS,1,15600.0,Falcon 9,B5
118,KSC LC 39A,True ASDS,1,7407.0,Falcon 9,B5
119,KSC LC 39A,True ASDS,1,12519.0,Falcon 9,B5
120,CCSFS SLC 40,True ASDS,1,13260.0,Falcon 9,B5
121,VAFB SLC 4E,True ASDS,1,670.0,Falcon 9,B5
122,CCSFS SLC 40,True ASDS,1,13260.0,Falcon 9,B5
123,KSC LC 39A,True ASDS,1,330.0,Falcon 9,B5
124,VAFB SLC 4E,True ASDS,1,13260.0,Falcon 9,B5
125,CCSFS SLC 40,True ASDS,1,3500.0,Falcon 9,B5
126,KSC LC 39A,True ASDS,1,7407.0,Falcon 9,B5
127,KSC LC 39A,True ASDS,1,13260.0,Falcon 9,B5
128,CCSFS SLC 40,True RTLS,1,7407.0,Falcon 9,B5
129,KSC LC 39A,True ASDS,1,13260.0,Falcon 9,B5
130,CCSFS SLC 40,True RTLS,1,2240.0,Falcon 9,B5
131,VAFB SLC 4E,True RTLS,1,7407.0,Falcon 9,B5
132,KSC LC 39A,True ASDS,1,13260.0,Falcon 9,B5
